itemId	enchantId
2304	15
2313	16
4265	17
4405	30
4406	32
4407	33
5421	36
6041	37
6042	43
6043	34
7967	463
7969	464
8173	18
10546	663
10548	664
11622	1483
11642	1503
11643	1504
11644	1505
11645	1506
11646	1507
11647	1508
11648	1509
11649	1510
12645	1704
15564	1843
18169	2483
18170	2484
18171	2485
18172	2486
18173	2487
18182	2488
18251	2503
18283	2523
18329	2543
18330	2544
18331	2545
19782	2583
19783	2584
19784	3755
19785	3754
19786	2587
19787	2588
19788	2589
19789	2590
19790	2591
19971	846
20076	2605
20077	2606
20078	2604
22635	2681
22636	2682
22638	2683
23530	2714
23545	2721
23547	2715
23548	2717
23549	2716
23764	2722
23765	2723
23766	2724
24273	2747
24274	2748
24275	2745
24276	2746
25650	2792
25651	2793
25652	2794
28878	2979
28881	2981
28882	2977
28885	2983
28886	2982
28887	2980
28888	2986
28889	2978
28903	2994
28904	2992
28907	2996
28908	2990
28909	2995
28910	2997
28911	2991
28912	2993
29186	2999
29187	2998
29189	3001
29190	3001
29191	3002
29192	3003
29193	3004
29194	3005
29195	3006
29196	3007
29197	3007
29198	3008
29199	3009
29483	2984
29485	2985
29486	2987
29487	2988
29488	2989
29533	3010
29534	3011
29535	3012
29536	3013
30846	3096
33185	3223
34207	3260
34330	2841
34836	3269
37312	3315
37603	2657
38371	3325
38372	3326
38373	3822
38374	3823
38375	3329
38376	3330
38679	41
38766	41
38767	44
38768	924
38769	24
38770	65
38771	66
38772	241
38773	242
38774	243
38775	783
38776	246
38777	247
38778	248
38779	249
38780	250
38781	723
38782	254
38783	255
38784	256
38785	66
38786	247
38787	66
38788	255
38789	247
38790	744
38791	848
38792	255
38793	724
38794	241
38795	804
38796	943
38797	823
38798	63
38799	843
38800	844
38801	845
38802	2603
38803	723
38804	847
38805	724
38806	848
38807	849
38808	850
38809	851
38810	724
38811	925
38812	852
38813	853
38814	854
38815	2463
38816	851
38817	856
38818	857
38819	255
38820	863
38821	943
38822	1897
38823	865
38824	866
38825	884
38826	903
38827	904
38828	852
38829	905
38830	852
38831	906
38832	907
38833	908
38834	909
38835	849
38836	856
38837	911
38838	803
38839	907
38840	912
38841	913
38842	923
38843	926
38844	904
38845	963
38846	927
38847	928
38848	805
38849	929
38850	930
38851	931
38852	1883
38853	1884
38854	1885
38855	1886
38856	1887
38857	927
38858	1888
38859	1889
38860	1890
38861	929
38862	929
38863	1887
38864	851
38865	1891
38866	1892
38867	1893
38868	1894
38869	1896
38870	1897
38871	1898
38872	1899
38873	1900
38874	1903
38875	1904
38876	2443
38877	2504
38878	2505
38879	2563
38880	2564
38881	2565
38882	2650
38883	2567
38884	2568
38885	2613
38886	2614
38887	2615
38888	2616
38889	2617
38890	2564
38891	2619
38892	2620
38893	910
38894	2621
38895	2622
38896	2646
38897	2647
38898	1891
38899	2648
38900	2650
38901	2679
38902	2649
38903	2650
38904	2653
38905	2654
38906	2655
38907	1888
38908	2656
38909	2649
38910	2658
38911	2659
38912	3233
38913	2661
38914	2662
38915	2664
38917	963
38918	2666
38919	2667
38920	2668
38921	2669
38922	2670
38923	2671
38924	2672
38925	2673
38926	2674
38927	2675
38928	1144
38929	3150
38930	2933
38931	2934
38932	2935
38933	684
38934	1594
38935	2937
38936	2322
38937	369
38938	1593
38939	2938
38940	368
38941	1257
38942	1441
38943	2939
38944	2940
38945	1071
38946	3846
38947	3222
38948	3225
38949	3229
38950	3230
38951	3231
38953	3234
38954	1952
38955	3236
38956	1400
38959	983
38960	3238
38961	1147
38962	2381
38963	3844
38964	3829
38965	3239
38966	1075
38967	3222
38968	1119
38969	1354
38971	1600
38972	3241
38973	3243
38974	3244
38975	3245
38976	983
38977	1446
38978	1951
38979	3246
38980	1147
38981	3247
38982	1262
38984	3231
38986	3826
38987	2661
38988	3251
38989	3252
38990	3253
38991	3830
38992	3828
38993	3256
38995	1103
38997	2326
38998	3273
38999	1951
39000	2648
39001	3294
39002	1953
39003	3831
39004	3296
39005	3297
39006	3232
41146	3607
41167	3608
41601	3718
41602	3719
41603	3720
41604	3721
41611	3729
41976	3731
42500	3748
43987	3790
44067	3793
44068	3794
44069	3795
44075	3797
44129	3806
44130	3807
44131	3875
44132	3876
44133	3808
44134	3809
44135	3810
44136	3811
44137	3812
44138	3813
44139	3814
44140	3815
44141	3816
44149	3817
44150	3818
44152	3819
44159	3820
44449	3824
44453	1606
44455	1128
44456	3825
44457	1099
44458	1603
44463	3827
44465	3832
44466	3833
44467	3834
44469	1597
44470	2332
44493	3789
44497	3788
44559	3759
44560	3760
44561	3761
44562	3762
44563	3763
44701	3842
44702	3842
44739	3843
44815	3845
44936	3849
44947	3850
44957	3852
44963	3853
45056	3854
45060	3855
45628	3858
46026	3869
46098	3870
50335	3808
50336	3809
50337	3811
50338	3810
50367	3817
50368	3820
50369	3818
50370	3819
50372	3842
50373	3842
50816	846
52687	4061
52743	4062
52744	4063
52745	4064
52746	4065
52747	4066
52748	4067
52749	4068
52750	4069
52751	4070
52752	4071
52753	4072
52754	4073
52755	4074
52756	4075
52757	4076
52758	4077
52759	4082
52760	4083
52761	4084
52762	4085
52763	4086
52764	4087
52765	4088
52766	4089
52767	4090
52768	4091
52769	4092
52770	4093
52771	4094
52772	4095
52773	4096
52774	4097
52775	4098
52776	4099
52777	4100
52778	4101
52779	4102
52780	4103
52781	4105
52782	4104
52783	4106
52784	4107
52785	4108
54447	4111
54448	4112
54449	4109
54450	4110
55054	3729
55055	4215
55056	4216
55057	4217
56477	4120
56502	4122
56503	4124
56517	4121
56550	4126
56551	4127
59594	4175
59595	4176
59596	4177
62321	4197
62333	4198
62342	4199
62343	4200
62344	4201
62345	4202
62346	4204
62347	4205
62366	4206
62367	4207
62368	4208
62369	4209
62422	4208
68134	4227
68714	4204
68715	4200
68716	4202
68717	4198
68718	4206
68719	4207
68720	4208
68721	4209
68722	4208
68763	4208
68764	4206
68765	4207
68766	4209
68767	4208
68768	4247
68769	4246
68770	4245
68772	4248
68773	4249
68774	4250
68784	4258
68785	4256
68786	4257
68796	4259
68815	4250
70139	4267
71720	4270
